Record Length,20480










Source,CH1,CH2
Second,Volt,Volt
-0.01922600000,2.56000,2.44000
-0.01922400000,2.56000,2.44000
-0.01922200000,2.60000,2.44000
-0.01922000000,2.56000,2.44000
-0.01921800000,2.60000,2.48000
-0.01921599844,2.60000,2.44000
-0.01921400000,2.56000,2.44000
-0.01921200000,2.56000,2.44000
-0.01921000000,2.48000,2.36000
-0.01920799844,2.60000,2.48000
-0.01920600000,2.56000,2.44000
-0.01920400000,2.56000,2.44000
-0.01920200000,2.56000,2.44000
-0.01919999844,2.60000,2.44000
-0.01919800000,2.56000,2.44000
-0.01919600000,2.56000,2.44000
-0.01919400000,2.60000,2.48000
-0.01919200156,2.60000,2.44000
-0.01919000000,2.56000,2.44000
-0.01918800000,2.56000,2.44000
-0.01918600000,2.56000,2.44000
-0.01918400156,2.60000,2.36000
-0.01918200000,2.56000,2.44000
-0.01918000000,2.56000,2.48000
-0.01917800000,2.52000,2.40000
-0.01917600000,2.60000,2.44000
-0.01917400000,2.56000,2.44000
-0.01917200000,2.56000,2.44000
-0.01917000000,2.56000,2.44000
-0.01916800000,2.56000,2.44000
-0.01916600000,2.52000,2.36000
-0.01916400000,2.60000,2.44000
-0.01916200000,2.56000,2.44000
-0.01916000000,2.56000,2.44000
-0.01915800000,2.48000,2.44000
-0.01915600000,2.56000,2.44000
-0.01915399844,2.56000,2.44000
-0.01915200000,2.56000,2.44000
-0.01915000000,2.56000,2.44000
-0.01914800000,2.56000,2.44000
-0.01914599844,2.56000,2.44000
-0.01914400000,2.56000,2.44000
-0.01914200000,2.56000,2.44000
-0.01914000000,2.56000,2.44000
-0.01913799844,2.60000,2.44000
-0.01913600000,2.56000,2.44000
-0.01913400000,2.64000,2.48000
-0.01913200000,2.72000,2.64000
-0.01913000156,2.60000,2.44000
-0.01912800000,2.56000,2.44000
-0.01912600000,2.56000,2.44000
-0.01912400000,2.56000,2.44000
-0.01912200156,2.60000,2.48000
-0.01912000000,2.56000,2.44000
-0.01911800000,2.56000,2.44000
-0.01911600000,2.56000,2.44000
-0.01911400000,2.60000,2.48000
-0.01911200000,2.56000,2.44000
-0.01911000000,2.56000,2.44000
-0.01910800000,2.56000,2.44000
-0.01910600000,2.60000,2.44000
-0.01910400000,2.56000,2.44000
-0.01910200000,2.56000,2.44000
-0.01910000000,2.60000,2.44000
-0.01909800000,2.56000,2.44000
-0.01909600000,2.60000,2.48000
-0.01909400000,2.60000,2.48000
-0.01909199844,2.56000,2.44000
-0.01909000000,2.60000,2.44000
-0.01908800000,2.60000,2.48000
-0.01908600000,2.56000,2.44000
-0.01908399844,2.56000,2.48000
-0.01908200000,2.56000,2.44000
-0.01908000000,2.72000,2.64000
-0.01907800000,2.56000,2.44000
-0.01907599844,2.60000,2.44000
-0.01907400000,2.56000,2.44000
-0.01907200000,2.60000,2.44000
-0.01907000000,2.56000,2.44000
-0.01906800156,2.60000,2.44000
-0.01906600000,2.56000,2.44000
-0.01906400000,2.56000,2.44000
-0.01906200000,2.68000,2.52000
-0.01906000000,2.56000,2.44000
-0.01905800000,2.56000,2.44000
-0.01905600000,2.56000,2.44000
-0.01905400000,2.60000,2.44000
-0.01905200000,2.56000,2.44000
-0.01905000000,2.56000,2.44000
-0.01904800000,2.60000,2.44000
-0.01904600000,2.56000,2.40000
-0.01904400000,2.56000,2.44000
-0.01904200000,2.56000,2.44000
-0.01904000000,2.56000,2.44000
-0.01903799844,2.56000,2.44000
-0.01903600000,2.52000,2.40000
-0.01903400000,2.60000,2.44000
-0.01903200000,2.60000,2.44000
-0.01902999844,2.60000,2.44000
-0.01902800000,2.60000,2.44000
-0.01902600000,2.56000,2.44000
-0.01902400000,2.56000,2.44000
-0.01902199844,2.60000,2.44000
-0.01902000000,2.56000,2.44000
-0.01901800000,2.56000,2.44000
-0.01901600000,2.60000,2.44000
-0.01901399844,2.56000,2.44000
-0.01901200000,2.56000,2.44000
-0.01901000000,2.64000,2.60000
-0.01900800000,2.56000,2.44000
-0.01900600156,2.56000,2.44000
-0.01900400000,2.56000,2.44000
-0.01900200000,2.52000,2.40000
-0.01900000000,2.52000,2.44000
-0.01899800000,2.56000,2.44000
-0.01899600000,2.56000,2.44000
-0.01899400000,2.56000,2.44000
-0.01899200000,2.56000,2.44000
-0.01899000000,2.56000,2.44000
-0.01898800000,2.56000,2.44000
-0.01898600000,2.56000,2.44000
-0.01898400000,2.84000,2.72000
-0.01898200000,2.56000,2.44000
-0.01898000000,2.56000,2.44000
-0.01897800000,2.56000,2.44000
-0.01897599844,2.56000,2.44000
-0.01897400000,2.60000,2.48000
-0.01897200000,2.56000,2.44000
-0.01897000000,2.60000,2.48000
-0.01896799844,2.56000,2.44000
-0.01896600000,2.48000,2.36000
-0.01896400000,2.56000,2.44000
-0.01896200000,2.60000,2.44000
-0.01895999844,2.56000,2.44000
-0.01895800000,2.56000,2.44000
-0.01895600000,2.60000,2.44000
-0.01895400000,2.56000,2.44000
-0.01895199844,2.56000,2.44000
-0.01895000000,2.60000,2.48000
-0.01894800000,2.60000,2.44000
-0.01894600000,2.60000,2.44000
-0.01894400156,2.56000,2.44000
-0.01894200000,2.56000,2.44000
-0.01894000000,2.28000,2.20000
